Uri,Title,Artist,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/1yfyIdEw5U2bD5I6gxQCxW,tough love,Avicii - Agnes - Vargas & Lagola,big room,0.402,0.754,-4.837,0.0432,0.143,0,0.358,0.621,108.17
https://open.spotify.com/track/4hiUYb2nb6NlfTP9CD38Pe,on my way,Tiësto - Bright Sparks,big room,0.629,0.764,-4.023,0.036,0.00981,0,0.221,0.577,123.972
https://open.spotify.com/track/6J7ZSdEEYo3ns4gnHdwRL0,seek bromance - avicii vocal edit,Tim Berg - Avicii,big room,0.515,0.837,-2.552,0.0401,0.0868,0,0.0403,0.52,126.026
https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE,without you,Avicii - Sandro Cavazza,big room,0.652,0.855,-4.832,0.0441,0.00179,0,0.0404,0.279,134.009
https://open.spotify.com/track/3zKST4nk4QJE77oLjUZ0Ng,hey brother,Avicii,big room,0.545,0.78,-4.867,0.0436,0.0309,4.64E-05,0.0828,0.458,125.014
https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq,waiting for love,Avicii,big room,0.577,0.741,-3.83,0.0501,0.298,0,0.142,0.581,128.081
https://open.spotify.com/track/1839RWzPRZCVgvamu4sHSN,all my love,Cash Cash - Conor Maynard,big room,0.59,0.871,-3.353,0.0891,0.148,0,0.0739,0.304,134.956
https://open.spotify.com/track/1MobXMNPi9e1onV0ElsPEj,be somebody,Steve Aoki - Nicky Romero - Kiiara,big room,0.698,0.875,-4.665,0.0824,0.00557,1.88E-06,0.0618,0.39,115.012
https://open.spotify.com/track/3d9JucRI60arArgQXqtfjJ,falling,Alesso,big room,0.709,0.72,-3.94,0.0366,0.263,0,0.347,0.675,115.987
https://open.spotify.com/track/5dVUSdsePmEKkq4ryfrobU,excuse me mr sir,Avicii - Vargas & Lagola,big room,0.464,0.672,-6.064,0.0727,0.127,0.00299,0.322,0.492,114.708
https://open.spotify.com/track/7zGEU6BXl2c4TxpzIAr7BI,never leave me,Avicii - Joe Janiak,big room,0.629,0.662,-5.581,0.0939,0.303,0,0.0762,0.45,82.368
https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE,i love you,Axwell /\ Ingrosso - Kid Ink,big room,0.654,0.859,-4.321,0.166,0.336,0,0.0947,0.704,114.87
https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,solo dance,Martin Jensen,big room,0.744,0.836,-2.396,0.0507,0.0435,0,0.194,0.36,114.965
https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP,god is a dancer,Tiësto - Mabel,big room,0.774,0.747,-3.908,0.082,0.0241,6.11E-06,0.342,0.833,119.964
https://open.spotify.com/track/3qC3qmZNDXu62hc8YbhWsy,dear boy,Avicii,big room,0.686,0.581,-5.911,0.112,0.000276,0.1,0.3,0.253,124.995
https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,summer days,Martin Garrix - Macklemore - Fall Out Boy,big room,0.661,0.723,-6.976,0.0566,0.179,1.23E-05,0.14,0.316,113.778
https://open.spotify.com/track/2qfEcCkEo5NscA9GL7ER72,nobody,Martin Jensen - James Arthur,big room,0.673,0.687,-5.295,0.0623,0.269,0,0.181,0.524,96.964
https://open.spotify.com/track/0HZgYFimoJG9Ijy8InUWcV,bad reputation,Avicii - Joe Janiak,big room,0.745,0.637,-5.959,0.0512,0.656,6.50E-06,0.0993,0.446,89.995
https://open.spotify.com/track/665AK0ovB11McZRwfa852G,astronomia,Vicetone - Tony Igy,big room,0.653,0.945,-2.634,0.096,0.00561,0.915,0.439,0.325,126.093
https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF,love on me,Galantis - Hook N Sling,big room,0.562,0.906,-2.085,0.0758,0.105,0,0.145,0.674,124.146
https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,no sleep,Martin Garrix - Bonn,big room,0.44,0.635,-6.385,0.0326,0.129,0,0.121,0.327,128.133
https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,just hold on,Steve Aoki - Louis Tomlinson,big room,0.647,0.932,-3.515,0.0824,0.00383,1.50E-06,0.0574,0.374,114.991
https://open.spotify.com/track/12ip0ceCeszDTDFxDY1AXJ,you be love,Avicii - Billy Raffoul,big room,0.826,0.466,-7.521,0.0425,0.0351,0.0092,0.0833,0.548,124.95
https://open.spotify.com/track/4XZxalvnG4Yo8YZLuiT1kV,tough love,Avicii - Agnes - Vargas & Lagola,big room,0.402,0.754,-4.837,0.0432,0.143,0,0.358,0.621,108.17
https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc,higher ground,Martin Garrix - John Martin,big room,0.442,0.619,-5.28,0.0321,0.0841,0,0.0889,0.382,128.318
https://open.spotify.com/track/3caMfJGFp53NAH2TuigdNj,hunter,Galantis,big room,0.509,0.712,-5.747,0.111,0.186,0,0.102,0.653,99.831
https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,jackie chan,Tiësto - Dzeko - Preme - Post Malone,big room,0.747,0.834,-2.867,0.045,0.374,0,0.0586,0.687,128.005
https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,there for you,Martin Garrix - Troye Sivan,big room,0.611,0.644,-7.607,0.0553,0.124,0,0.124,0.13,105.969
https://open.spotify.com/track/6ZEYvUSgON3J5Qe1RYi3Jo,peace of mind,Avicii - Vargas & Lagola,big room,0.461,0.624,-8.034,0.0298,0.11,6.97E-06,0.454,0.278,110.003
https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg,remedy,Alesso,big room,0.601,0.775,-4.612,0.0473,0.269,0,0.0883,0.483,119.964
https://open.spotify.com/track/0xIVvRmjztR1AwuHrkhH41,addicted to you,Avicii,big room,0.569,0.785,-4.057,0.0457,0.0505,1.12E-06,0.086,0.303,128.031
https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,lonely together,Avicii - Rita Ora,big room,0.655,0.666,-5.309,0.0612,0.134,2.12E-05,0.0683,0.272,102.977
https://open.spotify.com/track/2hPLfPxvRUfXKNGD3VcJnT,so much better - avicii remix,Avicii - Sandro Cavazza,big room,0.792,0.668,-5.67,0.0742,0.24,0.371,0.142,0.242,109.956
https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,sos,Avicii - Aloe Blacc,big room,0.802,0.645,-6.181,0.0715,0.272,0,0.119,0.376,100.001
https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs,more than you know,Axwell /\ Ingrosso,big room,0.644,0.743,-5.002,0.0355,0.034,0,0.257,0.544,123.074
https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4,drown,Martin Garrix - Clinton Kane,big room,0.573,0.739,-5.455,0.0581,0.212,0,0.175,0.363,120.077
https://open.spotify.com/track/3c3XJ9P1BjOtmNXKvdVyHK,for a better day,Avicii,big room,0.631,0.836,-3.386,0.0343,0.0482,0.139,0.135,0.321,134.987
https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,ocean,Martin Garrix - Khalid,big room,0.506,0.693,-7.265,0.0412,0.584,9.58E-05,0.0891,0.221,139.912
https://open.spotify.com/track/6NVjujGb9fnl25fjzm5dTy,freak,Avicii - Bonn,big room,0.405,0.576,-6.245,0.171,0.225,8.08E-06,0.0822,0.695,91.204
https://open.spotify.com/track/2r1T6xGTVaNAqBoPH4lZEE,waste it on me,Steve Aoki - BTS,big room,0.669,0.684,-4.595,0.0585,0.252,0,0.72,0.466,96.097
https://open.spotify.com/track/5B03nSG8pLE48jh7kmasuL,levels - radio edit,Avicii,big room,0.579,0.887,-5.961,0.0334,0.0484,0.828,0.294,0.472,126.041
https://open.spotify.com/track/6mzTuMlbCgEtoCitsszlqP,what would i change it to,Avicii - AlunaGeorge,big room,0.785,0.495,-8.865,0.0946,0.305,4.82E-06,0.0936,0.586,109.992
https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,so far away,Martin Garrix - David Guetta - Jamie Scott - Romy Dya,big room,0.526,0.52,-7.985,0.0569,0.435,0,0.197,0.13,149.119
https://open.spotify.com/track/5mAxA6Q1SIym6dPNiFLUyd,all night,Steve Aoki - Lauren Jauregui,big room,0.545,0.865,-2.601,0.0522,0.0724,4.79E-06,0.919,0.332,89.992
https://open.spotify.com/track/2DcZd7oFgctIJZG5pFncyD,flames,R3HAB - ZAYN - Jungleboi,big room,0.358,0.644,-8.027,0.0811,0.154,0,0.0898,0.436,152.085
https://open.spotify.com/track/0wUxh6XMc698xPCfgBaPRV,dreamer,Martin Garrix - Mike Yung,big room,0.532,0.639,-7.419,0.0388,0.0507,0.00131,0.106,0.198,105
https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl,wake me up - radio edit,Avicii,big room,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08
https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh,scared to be lonely,Martin Garrix - Dua Lipa,big room,0.568,0.583,-6.81,0.0636,0.0741,0,0.396,0.196,137.865
https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP,used to love,Martin Garrix - Dean Lewis,big room,0.651,0.693,-4.722,0.0375,0.458,0,0.335,0.392,118.97
https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM,summer days,Martin Garrix - Macklemore - Fall Out Boy,big room,0.661,0.723,-6.976,0.0566,0.179,1.23E-05,0.14,0.316,113.778
