Name,Id,Artists,Artists_Id,Release,Duration,Genre,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valeance,Tempo
Hero,29p6UW08MXzwj9thWBW3uF,"['Afrojack', 'David Guetta']","['4D75GcNG95ebPtNvoNVXhz', '1Cs0zKBU1kc0i8ypK3B9ai']",4/30/21,171840,edm,0.713,0.772,2,-5.032,0.0313,0.157,0,0.153,0.523,125.001
Chasing Stars (feat. James Bay),6y6xhAgZjvxy5kR5rigpY3,"['Alesso', 'Marshmello', 'James Bay']","['4AVFqumd2ogHFlRbKIjp1t', '64KEffDW9EtZ1y2vBYgq8T', '4EzkuveR9pLvDVFNx6foYD']",8/20/21,170457,edm,0.594,0.64,10,-6.865,0.033,0.0169,0,0.135,0.492,92.871
Gotta Be You,2Q8fFORnsDE6I3RNvSLXSf,"['NERVO', 'Carla Monroe']","['4j5KBTO4tk7up54ZirNGvK', '4S9LNSZusH3XflT3g32bqB']",1/8/21,149032,edm,0.642,0.869,6,-5.271,0.0452,0.252,0.0288,0.0708,0.376,123.91
Okay,71H8k9qe7DersxR6KyhUnI,"['Nicky Romero', 'MARF', 'Wulf']","['5ChF3i92IPZHduM7jN3dpg', '6y1eDna5tYFgcvKyGhLCy7', '134sCDSe1w2zPnfCG4hT0f']",7/23/21,151312,edm,0.513,0.836,2,-3.781,0.0579,0.0463,0,0.128,0.304,124.964
Get Low,3oZoXyU0SkDldgS7AcN4y4,"['Dillon Francis', 'DJ Snake']","['5R3Hr2cnCCjt220Jmt2xLf', '540vIaP2JwjQb9dm3aArA4']",10/22/14,212773,edm,0.674,0.932,11,-4.424,0.0859,0.0282,0.71,0.684,0.728,101.033
West Coast (feat. Quinn XCII),4fCE1SCDulouoac9Q8XroU,"['DVBBS', 'Quinn XCII']","['5X4LWwbUFNzPkEas04uU82', '3ApUX1o6oSz321MMECyIYd']",10/16/20,150819,edm,0.714,0.798,5,-4.239,0.0612,0.00248,0.000678,0.103,0.659,119.017
Better With You,3D37T7euWvVJ45evRmriIh,"['3LAU', 'Justin Caruso', 'Iselin']","['4YLQaW1UU3mrVetC8gNkg5', '1NyxTiCivDmzgFWYD1V01m', '3rjHIPFed2qITXAWvArRtp']",3/1/19,192941,edm,0.571,0.752,3,-4.872,0.0293,0.0196,6.92E-05,0.114,0.25,102.043
Bad,1T4U8Q2DRfs6OUg8DEsRZf,"['Don Diablo', 'Zak Abel']","['1l2ekx5skC4gJH8djERwh1', '6Gk5hoM7eW8NSCYhICMDHw']",3/20/20,169911,edm,0.791,0.738,0,-5.197,0.0732,0.406,0.00826,0.159,0.666,123.927
Breathe (feat. kaspara),7pDdE5FLqcNCvjxzRzm80r,"['Syn Cole', 'Kaspara']","['6i1GVNJCyyssRwXmnaeEFH', '4DTvSNQv43222tg1K7C8k2']",1/22/21,175082,edm,0.753,0.749,6,-5.214,0.0314,0.0546,4.39E-06,0.166,0.589,121.988
On Your Mind,5IpIl6c14WCJhjlIl6poVD,['Kaskade'],['6TQj5BFPooTa08A7pk8AQ1'],12/7/18,320280,edm,0.835,0.828,4,-4.512,0.0949,0.00235,0.743,0.0602,0.178,107.995
Back To Life,3rnBqIIoxOpQ0p9BeW3NT4,"['DubVision', 'Afrojack']","['3XINWZaloea97SIRiyTJxX', '4D75GcNG95ebPtNvoNVXhz']",8/16/19,201260,edm,0.554,0.864,2,-4.403,0.0889,0.00166,0,0.119,0.305,126.975
This Time (Never Be Alone Again),4NfNmtFPQwR7IYoKeBErOp,['Dada Life'],['00sAT5YX8W3xNd1EuqyHw9'],5/15/20,166774,edm,0.627,0.871,7,-6.307,0.0618,0.0454,0.00501,0.462,0.222,128.05
Leave,5Qnk8vP5g9l5SDQKU3qyYQ,"['Borgeous', 'Jordyn Jones']","['4uiMn2g0pgTrhN096QJhbp', '4goZmMm5PJIE6kRz70xKdd']",1/25/19,193640,edm,0.762,0.665,11,-6.92,0.0471,0.169,0,0.103,0.961,115.946
Whistle (feat. Bertie Scott),6hEJvWfNOvTUhLuV1Or1of,"['Laidback Luke', 'Tribbs', 'Bertie Scott']","['53cQZtWDwDJwVCNZlfJ6Qk', '6iqDK7aHVlwGGgPmcdSK5L', '2m0xNVRx1tAHY3pfNXt7Ro']",4/9/21,140156,edm,0.832,0.922,0,-3.866,0.0712,0.0361,0.0274,0.109,0.716,127.999
Getaway - Koven Remix,10EpXLXKHmNSVKvX7A5hg8,"['Tritonal', 'Angel Taylor', 'Koven']","['521qvhdobR0GzhvU6TFw76', '6D5xkX8ecb4bGccXqtDI63', '3UCbp6D1lvILlxRJT9LnFa']",7/8/16,203721,edm,0.488,0.914,6,-2.875,0.223,0.00415,0,0.158,0.222,172.187
Wish It Was You,3Dr0xDJwXy6JkiHNJfv5zd,"['Audien', 'Cate Downey']","['4xnMDfgEmXZEEDdITKcGuE', '3SHmKHBjw1ks5yXtblJWPn']",8/27/21,192000,edm,0.644,0.616,1,-3.928,0.0391,0.0927,0,0.105,0.467,124.957
Take Your Time,3AygCrAj6TZZ6mGkcvD9To,['ARTY'],['1rSGNXhhYuWoq9BEz5DZGO'],1/29/21,186142,edm,0.583,0.94,7,-3.05,0.0551,0.0476,0.000206,0.0524,0.378,127.009
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,3wLPRjw2XQpmowqXUXb3UF,"['Bingo Players', 'Far East Movement']","['1pbHrVayIcVpHI9z97u4bK', '698hF4vcwHwPy8ltmXermq']",12/8/12,166933,edm,0.801,0.985,7,-2.69,0.0647,0.0205,6.86E-06,0.297,0.72,127.99
I Want You,40jZdbxLsxIwnTBAUeduF3,['Sick Individuals'],['0XqFDQJjqW5PfhfBCb53LR'],7/2/21,186576,edm,0.673,0.953,7,-2.333,0.0461,0.0572,3.84E-06,0.296,0.62,127.921
I Found You (Neptune),4Ik06IuDcAgXZ0xbydo9I8,"['EDX', 'Jess Ball']","['7GMot9WvBYqhhJz92vhBp6', '5HjbKQXMhybveoJOsOXS07']",5/15/20,158735,edm,0.822,0.916,1,-4.692,0.0558,0.0205,0.0112,0.0746,0.894,124.03
Reload - Radio Edit,5jyUBKpmaH670zrXrE0wmO,"['Sebastian Ingrosso', 'Tommy Trash', 'John Martin']","['6hyMWrxGBsOx6sWcVj1DqP', '1tBU8jUEdVR3mqSsAqEGfD', '2auikkNYqigWStoHWK1Grq']",1/1/13,221273,edm,0.485,0.724,9,-4.633,0.0521,0.0736,0,0.0631,0.433,128.045
Treasured Soul - Radio Edit,2gpytjWqJVE3LICibhEUaK,['Michael Calfan'],['4CuipEvwcoQggmCV8jpKF9'],2/18/15,177600,edm,0.623,0.833,4,-2.951,0.0557,0.0191,0.0174,0.331,0.411,124.973
New Vibe Who Dis (feat. Little League),3TjE3A8tLih7KBwKJ03Htl,"['Madison Mars', 'Little League']","['4gJCFxvqKc43Ifk0UIBB42', '1Su706KJL5OFFqpbaTmw25']",8/23/19,191500,edm,0.699,0.933,10,-3.504,0.175,0.16,5.62E-06,0.196,0.646,123.91
