artist_name,track_name,genre,tempo,danceability,energy,valence,id
Radiohead,Everything in Its Right Place,breakbeat,124.004,0.293,0.462,0.0623,31DVVa40JpTudyGDNC1ROW
Various Artists,The Bouncer - Housequake Mix,breakbeat,135.89,0.792,0.905,0.12,6OlygUNPF9IhPo7Zhri6sU
Federation,Quiero - Future Disciple Radio Edit,breakbeat,127.992,0.545,0.935,0.0668,2KAhdNWGSxKI4rBA4Sw3sy
Various Artists,Who's Making Love,breakbeat,102.052,0.709,0.39,0.815,42UHQGcpq8oxAujCQpxGII
2Pac,California Love,breakbeat,91.647,0.658,0.87,0.791,1TdfRFmp4z1h2ecflxCaV3
Jeremy Steig,Howlin' For Judy,breakbeat,110.399,0.423,0.602,0.503,72RLba4dZZmjCUtxjj8mFP
Various Artists,Bristol,breakbeat,173.988,0.545,0.943,0.104,5wAMcUpK6OltPPjPE0c6mx
Chase & Status,Blind Faith,breakbeat,140.05,0.453,0.85,0.418,0bdbXNbIRClzywgD6UIPlw
Pretty Lights,I Can See It In Your Face,breakbeat,99.964,0.66,0.938,0.534,5A37UCV7aPjhp1RSocVBfc
SPACE 3,Guinea - Original Mix,breakbeat,174.048,0.728,0.857,0.0634,21zxPOncFLif0XEJzm8lLf
Plump DJs,Pray For You,breakbeat,133.348,0.636,0.855,0.885,5TgJDjMrpp8Cu5M6cWruyZ
Stanton Warriors,Bodywork - Original Mix,breakbeat,130.0,0.651,0.898,0.536,1HS4VWmqVKoT0B0PBUwsTi
The Chemical Brothers,Lost In The K Hole,breakbeat,109.904,0.693,0.848,0.898,4MrHZTzjwMbFgYzQjBKzeP
Blowfly,Sesame Street,breakbeat,119.254,0.813,0.712,0.61,2PDUK1RDiX0McDLGburc1B
Mutated Forms,"Windows featuring Netsky, Sofia Rubina",breakbeat,173.982,0.513,0.979,0.207,5ifOPV92kes4T29IYg2eIt
Blu Mar Ten,Thin Air,breakbeat,170.009,0.534,0.877,0.282,5Wa8KIp28AbTFHDZ13J9yr
Herbie Hancock,Oliloqui Valley - Remastered,breakbeat,91.226,0.461,0.496,0.338,3NYiJLsWCBMBekvF6J4s0B
KC & The Sunshine Band,Let It Go (Part Two),breakbeat,127.399,0.752,0.969,0.847,1SduNETUG3F1Wwvj9QFUYO
Fatboy Slim,Praise You,breakbeat,109.716,0.602,0.892,0.536,0LaZvd0GtkBx5b2BxaT3A4
DJ Icey,Minimal Machine,breakbeat,134.045,0.794,0.51,0.379,25H9cp6TqNJsO4an5gElNE
The Prodigy,Charly (Trip into Drum and Bass Version),breakbeat,145.035,0.645,0.747,0.45,3SLwd9mCQgxN0EU1sSYhWx
Noisia,Machine Gun - 16 Bit Remix,breakbeat,104.968,0.374,0.885,0.305,0ZcR8LX5cGLxr2v93WUIFO
Mr. Oizo,Cut Dick,breakbeat,115.452,0.807,0.721,0.746,2UmTblDK5SykXLW1Yn4Qrx
LFO,LFO,breakbeat,124.678,0.738,0.747,0.644,0BELfOcufjLMZkfPu2p7K5
Brownout,Homenage,breakbeat,129.914,0.545,0.9,0.958,26Gvg6GJYSRycAljs4xSka
DJ Slipmatt,In Effect - Slipmatt Remix,breakbeat,158.359,0.671,0.995,0.473,30rbF4JL5xfMW8eQpowUvZ
Herbie Hancock,Palm Grease,breakbeat,106.221,0.59,0.754,0.96,7inW3Cs2l4laNgLKp5R17K
The Herbaliser,A Mother (For Your Mind),breakbeat,166.021,0.66,0.303,0.249,5AenLCL5tkvwas8y8A0IU3
Cut Chemist,The Garden,breakbeat,101.789,0.727,0.831,0.693,1dPZC3LbZjsYZmVPSnuwKp
Plump DJs,The Gate,breakbeat,132.061,0.75,0.995,0.719,3jGzwr5eRaGXL5zlHFgF9b
Mutt,Feelings 4 U,breakbeat,176.969,0.645,0.816,0.911,6Mj3zlcNjcQRGmwoWU9uRS
Agent K,Infectious - Distortionz Vip Mix,breakbeat,136.025,0.606,0.944,0.666,3RCx7kqO8pM7Xs68IRjYgT
The Isley Brothers,Get Into Something,breakbeat,114.789,0.564,0.904,0.782,0BrWuWKYkqHOH7u1Hq3L5e
Freestylers,Punks,breakbeat,137.91,0.679,0.981,0.548,5vEoWw9tdas63Aznd6dUap
Various Artists,Praise You - Radio Edit,breakbeat,112.509,0.572,0.932,0.711,62nm5Ay0pIYt8Z54UQrghu
DJ Icey,All Your Love - Deekline & Wizard Club Mix,breakbeat,134.046,0.604,0.96,0.0741,1QERrDBVuPiJFqnTsoyC6I
Don Henley,The Boys Of Summer,breakbeat,177.399,0.516,0.776,0.859,7KY40pRBPKQSaSe0j5nKUK
Various Artists,Scorpio - Rerecorded Version,breakbeat,115.375,0.793,0.676,0.871,4O8zrS25OStHOrIM8qZsyh
Eskmo,Cloudlight,breakbeat,139.882,0.423,0.485,0.259,6TZHtS4pLhJhSEfyV7bmyj
Bobbi Humphrey,Please Set Me At Ease,breakbeat,70.117,0.343,0.299,0.322,5emxS2ghZWuPnRFOe10vdq
The Chemical Brothers,Three Little Birdies Down Beats,breakbeat,121.91,0.67,0.788,0.424,7E89BPSPTtBaR9mKK88WhD
Moby,Porcelain,breakbeat,94.73,0.297,0.637,0.332,2UKYMN7VnsQo40n0qCt6Sa
Eric Berretta,"Future Sound Of Breaks Volume 2.0 - Continuous Mix - Feat. DJ Icey, Krafty Kuts, Deekline and Ed Solo, Hyde, Hydraulix",breakbeat,136.035,0.728,0.692,0.246,1RADWAGoZRJod22HVKahvC
Incredible Bongo Band,In-A-Gadda-Da-Vida,breakbeat,115.748,0.554,0.783,0.555,6RTTygAPtjANZ3d0VlIPcy
The Three Sounds,Repeat After Me,breakbeat,157.318,0.539,0.7,0.707,6DKgHsHs69zBJAVWqiiaHr
Various Artists,Fever,breakbeat,133.646,0.498,0.577,0.651,0FGspbTW8tbLRXGTqXiPVX
Krafty Kuts,Against The Grain - Continuous Mix,breakbeat,130.002,0.722,0.947,0.501,2ki1y7wv2KzN92DXxdUOO5
Various Artists,Necromancer,breakbeat,132.959,0.33,0.878,0.21,0TXjeOA9FIHyTlcYBNfeX5
The Chemical Brothers,Saturate,breakbeat,133.99,0.825,0.551,0.318,7Ms07pLdSkZtyeSr6GYhK2
Facing Jinx,Perfect Secret,breakbeat,174.985,0.652,0.917,0.133,02CPZ6zrZETvdbnJs5z7xB
Various Artists,The Movement,breakbeat,109.994,0.897,0.787,0.79,18zcSShKTZ0hcl9lyNiZPz
The Prodigy,Fire (Sunrise Version),breakbeat,140.031,0.748,0.697,0.96,4e081v84DUXLS7AceAD9c9
Freestylers,Push Up,breakbeat,134.977,0.843,0.786,0.963,7sAJFVC3bu6r291ICz5qRw
Various Artists,Gypsy Rock,breakbeat,122.769,0.644,0.96,0.761,1c9Fj5H7AOczesHWzQKl6r
Various Artists,Hot Pants... I'm Coming I'm Coming,breakbeat,112.023,0.802,0.742,0.897,1W9qOaMlBUWclH1WOu57X0
The Chemical Brothers,Setting Sun,breakbeat,135.065,0.445,0.995,0.229,3Bjx94921MJ0DvjQQ9KVpK
Various Artists,Runnin',breakbeat,94.093,0.752,0.793,0.874,5pFXepfAbXlLUm5vBZXXXW
LTJ Bukem,Atlantis (I Need You),breakbeat,155.013,0.601,0.988,0.264,0kvwEKFefwc26vROd0GGkQ
The Bar-Kays,Holy Ghost,breakbeat,103.801,0.753,0.749,0.766,09yXj1tSMCdXigghmL3b2S
Various Artists,"Don't Call Me Nigger, Whitey",breakbeat,183.978,0.602,0.921,0.512,56r13tQH07EPshIRvW9eXy
Lee Morgan,Cornbread,breakbeat,129.056,0.658,0.521,0.819,7iPjzOaZiNXp0I8vOCcVZV
Empire of the Sun,Alive,breakbeat,119.952,0.522,0.885,0.432,0UB1ORB5L02Yb4PtXgLDj1
The Crystal Method,Starting Over,breakbeat,128.003,0.663,0.948,0.191,1XqsWYZYAdclIFkpFbfUGS
The Meters,Look-Ka Py Py,breakbeat,174.466,0.677,0.822,0.929,0TwWRCufcJ2JVNoy3Sbxq9
The Prodigy,Break & Enter,breakbeat,138.054,0.649,0.893,0.599,1iZHKK0iqQy4agjSO0n0OB
Various Artists,Bird Dance,breakbeat,114.959,0.876,0.956,0.52,5jCwszc6QmfeeotVlzzPE0
rhythm section,Comin' On Strong - Original,breakbeat,128.002,0.748,0.86,0.67,2orZOL1KCcCQ5vAFHs38tO
Young-Holt Unlimited,Rubber Lips,breakbeat,104.819,0.665,0.72,0.947,1poUFUckPAYTrArlnXL2Uc
Charles Wright & The Watts 103rd Street Rhythm Band,Express Yourself - Remastered Version,breakbeat,92.305,0.461,0.818,0.721,6gQZKkphKIMxZgca5r7ImA
Agent K,Bug,breakbeat,136.016,0.58,0.962,0.682,0bbvFKqow13LQyMjZX8GCz
Krafty Kuts,"The Good, The Bad & The Funky",breakbeat,129.967,0.8,0.582,0.643,2L9K392wmkagd5p1csWv0a
Various Artists,Rappers Delight,breakbeat,111.753,0.904,0.798,0.764,3lZpRrikvXTFli0qyU7Q9q
C2C,The Beat,breakbeat,96.978,0.798,0.778,0.624,5KTZsi6HKh2laUVsgaU3ag
F.U.S.E.,Substance Abuse,breakbeat,125.929,0.683,0.923,0.225,746KcHdT2vDEZQ5abSo2zL
Quadrat Beat,Hive Inside,breakbeat,135.046,0.742,0.733,0.898,00qrFPlLDYkd0IXCKxEuKW
Various Artists,Angels Fell,breakbeat,159.831,0.619,0.923,0.366,3IOGAOqhGeaEzGMkmuhTf3
KC & The Sunshine Band,I Get Lifted,breakbeat,106.182,0.825,0.649,0.921,3ntu2NJd9xFN8lPXa9Gzh1
Netsky,Eyes Closed,breakbeat,174.035,0.544,0.902,0.272,13xDNcUNMt4L9y6ckxeQJ1
Lords Of Acid,I Sit On Acid - Original; 2002 Remastered Version,breakbeat,119.37,0.605,0.959,0.536,3F9kV8MiHSbtqo4Srkhw8n
The Chemical Brothers,Chemical Beats,breakbeat,120.871,0.675,0.977,0.81,3vVlScRCPisn6VPs40VdL2
Thievery Corporation,Omid - Hope,breakbeat,104.022,0.751,0.704,0.623,6hiqX7jbFPrjdtrZegYgFW
Technimatic,Night Vision,breakbeat,175.041,0.415,0.935,0.345,5gkVOhjqZlwyBwV8iDeQDj
Blok One & Rainforest,Sighs In the Gloom,breakbeat,80.043,0.693,0.362,0.207,2Z75AHP4rdJT92Lw5NxuKW
High Contrast,Kiss Kiss Bang Bang,breakbeat,173.001,0.521,0.895,0.318,19WGviHv5DKhvoqqJmrKRO
Homemade Weapons,The Gauntlet Amen,breakbeat,170.986,0.537,0.931,0.123,1Ex2CrfmuBSl5Cbyz5y1DX
