artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
C2C,Because Of You,breakbeat,130.029,0.697,0.768,0.837,-4.808,0.0443,0.0,0.203,0.0607,3XOEuZcwfW4l7fttcB7zB6
Lynx ,Shimmy - Original Mix,breakbeat,175.056,0.666,0.858,0.696,-5.963,0.0381,0.637,0.0438,0.0814,1mFsyQBSvTxiw8ttkueFVf
The Prodigy,Omen,breakbeat,140.021,0.553,0.954,0.529,-5.166,0.000967,0.119,0.28,0.045,156oozyC0SdsnMrNnvMQQ1
Krafty Kuts,Get The Fuck Up,breakbeat,132.021,0.931,0.739,0.475,-6.607,0.000952,0.6,0.142,0.243,02G4zfV9qNd9AvOqJcjtTr
Stanton Warriors,Leader - Radio Edit,breakbeat,130.03,0.651,0.899,0.62,-7.519,0.00796,0.0319,0.349,0.0455,37U2f2JH3GtuP5CGCkz7yg
2Pac,California Love,breakbeat,91.647,0.658,0.87,0.791,-3.019,0.0275,0.0,0.656,0.0955,1TdfRFmp4z1h2ecflxCaV3
Bobbi Humphrey,Jasper Country Man,breakbeat,98.597,0.752,0.601,0.849,-13.935,0.101,0.486,0.0695,0.0586,6hMfarC8IWRoXWvJUsEeCj
Various Artists,The Clock Ticks - Original Mix,breakbeat,170.009,0.745,0.451,0.359,-3.818,0.0101,0.949,0.196,0.24,6NbGv0hCxDi9s6KvIuyxKj
Krafty Kuts,Get Blahsted - Mashup Mix,breakbeat,129.98,0.718,0.964,0.669,-5.368,0.000467,0.298,0.671,0.1,3GZtiTpvh8Z4PVntIrf5li
Plump DJs,Cry Wolf,breakbeat,140.055,0.72,0.964,0.853,-6.961,0.0723,0.836,0.373,0.0504,24aeHkACAE5sn0ZaReq9Dq
House Of Pain,Jump Around,breakbeat,106.894,0.854,0.71,0.818,-6.32,0.0113,8.72e-05,0.166,0.0793,2oTDOIAdsxPTE7yAp4YOcv
Federation,Quiero - Future Disciple Radio Edit,breakbeat,127.992,0.545,0.935,0.0668,-2.553,0.000353,0.292,0.385,0.0604,2KAhdNWGSxKI4rBA4Sw3sy
The Crystal Method,Born Too Slow,breakbeat,130.003,0.648,0.962,0.875,-3.449,0.00204,0.149,0.235,0.033,67nYdyTX9bqPzXugrAvsA2
Homemade Weapons,The Gauntlet Amen,breakbeat,170.986,0.537,0.931,0.123,-6.799,0.000581,0.739,0.107,0.0424,1Ex2CrfmuBSl5Cbyz5y1DX
Love,Doggone,breakbeat,106.785,0.456,0.92,0.298,-11.893,0.438,0.629,0.0857,0.0792,280rPVWqUcN4NGSwbD3NI9
The Chemical Brothers,"Song To The Siren - Live From Sabresonic Nightclub,United Kingdom/1994",breakbeat,111.374,0.639,0.67,0.174,-8.759,0.00102,0.915,0.61,0.0712,5pedBzuqzuqb8NPXqXFm1T
Gramatik,Lonely & Cold,breakbeat,191.86,0.626,0.617,0.425,-4.78,0.0111,0.000986,0.212,0.275,6KmktQvdt2AXZjCd8zay5J
The Bar-Kays,Holy Ghost,breakbeat,103.801,0.753,0.749,0.766,-13.935,0.185,0.444,0.0702,0.0506,09yXj1tSMCdXigghmL3b2S
Various Artists,Tarantula,breakbeat,174.028,0.514,0.899,0.266,-5.115,0.000122,0.0793,0.367,0.0602,7IJbKnXygJB4SrOp6AtUHQ
Moby,Feeling So Real,breakbeat,162.99,0.378,0.651,0.402,-6.944,3.31e-05,0.0651,0.325,0.0349,29gPyLfTZsQ9Q2Wvov7DOk
The Chemical Brothers,Chemical Beats,breakbeat,120.871,0.675,0.977,0.81,-6.354,0.0396,0.88,0.297,0.0692,3vVlScRCPisn6VPs40VdL2
Various Artists,Zero Tolerance,breakbeat,172.036,0.557,0.976,0.444,-4.13,0.000357,0.608,0.233,0.183,0877WZFJjVg3Hj1ZNuNetZ
Kavinsky,Pacific Coast Highway - Jackson Remix,breakbeat,129.991,0.716,0.855,0.267,-5.345,0.00071,0.831,0.364,0.107,5XAKb6Ap2XFYTXq4OAfAW3
